"Procedure","procedure_count","avg_base_cost"
"Admit to ICU (procedure)","5","206260.40"
"Coronary artery bypass grafting","9","47085.89"
"Lumpectomy of breast (procedure)","5","29353.00"
"Hemodialysis (procedure)","27","29299.56"
"Insertion of biventricular implantable cardioverter defibrillator","4","27201.00"
"Electrical cardioversion","1383","25903.11"
"Partial resection of colon","7","25229.29"
"Fine needle aspiration biopsy of lung (procedure)","1","23141.00"
"Percutaneous mechanical thrombectomy of portal vein using fluoroscopic guidance","57","20228.04"
"Percutaneous coronary intervention","9","19728.00"
